image_name,category,nucleus_id,centroid_y_px,centroid_x_px,centroid_y_um,centroid_x_um,area_px,area_um2
FL_examples (1),follicular_lymphoma,57,75.41666666666667,45.75,34.692,21.045,108,22.853
FL_examples (1),follicular_lymphoma,58,77.80555555555556,143.23611111111111,35.791,65.889,72,15.235
FL_examples (1),follicular_lymphoma,59,78.65454545454546,12.445454545454545,36.181,5.725,110,23.276
FL_examples (1),follicular_lymphoma,60,79.88793103448276,123.35344827586206,36.748,56.743,232,49.091
FL_examples (1),follicular_lymphoma,61,82.10679611650485,76.16504854368932,37.769,35.036,103,21.795
FL_examples (1),follicular_lymphoma,62,83.91578947368421,100.67368421052632,38.601,46.31,95,20.102
FL_examples (1),follicular_lymphoma,63,83.96969696969697,195.0909090909091,38.626,89.742,99,20.948
FL_examples (1),follicular_lymphoma,64,84.6,180.7,38.916,83.122,40,8.464
FL_examples (1),follicular_lymphoma,65,84.6907894736842,207.26973684210526,38.958,95.344,152,32.163
FL_examples (1),follicular_lymphoma,66,87.49557522123894,89.48672566371681,40.248,41.164,113,23.911
FL_examples (1),follicular_lymphoma,67,92.83333333333333,5.75,42.703,2.645,36,7.618
FL_examples (1),follicular_lymphoma,68,90.53398058252426,157.3009708737864,41.646,72.358,103,21.795
FL_examples (1),follicular_lymphoma,69,98.87692307692308,116.49230769230769,45.483,53.586,195,41.262
FL_examples (1),follicular_lymphoma,70,96.67676767676768,39.54545454545455,44.471,18.191,99,20.948
FL_examples (1),follicular_lymphoma,71,95.49047619047619,53.53333333333333,43.926,24.625,210,44.436
FL_examples (1),follicular_lymphoma,72,95.74757281553399,79.1747572815534,44.044,36.42,103,21.795
FL_examples (1),follicular_lymphoma,73,99.20175438596492,141.75438596491227,45.633,65.207,114,24.122
FL_examples (1),follicular_lymphoma,74,99.54651162790698,175.74418604651163,45.791,80.842,86,18.198
FL_examples (1),follicular_lymphoma,75,104.20792079207921,7.346534653465347,47.936,3.379,101,21.372
FL_examples (1),follicular_lymphoma,76,104.27380952380952,165.60714285714286,47.966,76.179,84,17.774
FL_examples (1),follicular_lymphoma,77,106.09210526315789,22.67105263157895,48.802,10.429,76,16.082
FL_examples (1),follicular_lymphoma,78,104.8273381294964,217.45323741007195,48.221,100.028,139,29.412
FL_examples (1),follicular_lymphoma,79,109.70588235294117,54.51260504201681,50.465,25.076,119,25.18
FL_examples (1),follicular_lymphoma,80,109.61428571428571,91.73571428571428,50.423,42.198,140,29.624
FL_examples (1),follicular_lymphoma,81,110.15294117647059,196.0,50.67,90.16,85,17.986
FL_examples (1),follicular_lymphoma,82,109.87378640776699,39.70873786407767,50.542,18.266,103,21.795
FL_examples (1),follicular_lymphoma,83,114.27884615384616,109.6826923076923,52.568,50.454,104,22.006
FL_examples (1),follicular_lymphoma,84,114.21495327102804,124.0,52.539,57.04,107,22.641
FL_examples (1),follicular_lymphoma,85,107.48979591836735,72.09183673469387,49.445,33.162,294,62.21
FL_examples (1),follicular_lymphoma,86,117.42553191489361,150.10638297872342,54.016,69.049,94,19.89
FL_examples (1),follicular_lymphoma,87,119.78125,201.5390625,55.099,92.708,128,27.085
FL_examples (1),follicular_lymphoma,88,122.56302521008404,177.6638655462185,56.379,81.725,119,25.18
FL_examples (1),follicular_lymphoma,89,121.29032258064517,13.268817204301076,55.794,6.104,93,19.679
FL_examples (1),follicular_lymphoma,90,123.24183006535948,90.04575163398692,56.691,41.421,153,32.375
FL_examples (1),follicular_lymphoma,91,120.10377358490567,140.1509433962264,55.248,64.469,106,22.43
FL_examples (1),follicular_lymphoma,92,123.59139784946237,217.4516129032258,56.852,100.028,93,19.679
FL_examples (1),follicular_lymphoma,93,125.8515625,26.5625,57.892,12.219,128,27.085
FL_examples (1),follicular_lymphoma,94,125.88888888888889,48.901234567901234,57.909,22.495,81,17.14
FL_examples (1),follicular_lymphoma,95,128.64835164835165,125.01098901098901,59.178,57.505,91,19.256
