image_name,category,target,n_nuclei,nuclear_density_per_1000um2,nuclear_area_fraction,area_top10_mean_um2,area_top10_short_axis_um,area_um2_mean,area_um2_std,area_um2_skew,area_um2_cv,perimeter_um_mean,perimeter_um_std,perimeter_um_skew,perimeter_um_cv,circularity_mean,circularity_std,circularity_skew,circularity_cv,eccentricity_mean,eccentricity_std,eccentricity_skew,eccentricity_cv,solidity_mean,solidity_std,solidity_skew,solidity_cv,major_axis_um_mean,major_axis_um_std,major_axis_um_skew,major_axis_um_cv,minor_axis_um_mean,minor_axis_um_std,minor_axis_um_skew,minor_axis_um_cv,aspect_ratio_mean,aspect_ratio_std,aspect_ratio_skew,aspect_ratio_cv,knn1_dist_mean_um,knn1_dist_std_um,knn3_dist_mean_um,knn3_dist_std_um,glcm_contrast,glcm_homogeneity,glcm_energy,lbp_entropy,hchannel_mean,hchannel_std
FL_examples (218),follicular_lymphoma,1,140,13.186,0.2192,38.95,5.732,16.6212,9.8083,1.7648,0.5901,16.5158,7.4287,1.453,0.4498,0.8024,0.2158,-0.7824,0.2689,0.7456,0.1549,-0.774,0.2077,0.8673,0.0969,-1.4484,0.1118,6.2295,2.5487,1.2024,0.4091,3.6007,1.1352,1.1576,0.3153,1.7957,0.7482,2.3954,0.4167,6.0954,1.616,7.6609,1.7168,52.825,0.2548,0.042,2.8508,153.2933,39.9597
FL_examples (219),follicular_lymphoma,1,129,12.15,0.1825,36.184,4.657,15.0171,9.4324,1.503,0.6281,16.4624,7.5361,1.1114,0.4578,0.73,0.2114,-0.2285,0.2896,0.8262,0.133,-1.7808,0.161,0.8317,0.0951,-0.8002,0.1143,6.5762,2.684,1.1701,0.4081,3.1575,1.1263,0.5598,0.3567,2.2272,0.965,1.5888,0.4333,6.2905,1.6888,7.9756,1.6752,71.1999,0.2179,0.0375,2.7689,154.0233,42.5191
FL_examples (22),follicular_lymphoma,1,190,17.895,0.281,26.728,4.589,15.7007,5.5359,0.7045,0.3526,15.6499,4.7396,1.46,0.3028,0.8297,0.2005,-0.8238,0.2417,0.6222,0.1605,-0.105,0.2579,0.8954,0.0864,-2.9602,0.0965,5.4127,1.6051,2.6069,0.2965,3.9243,0.6974,-0.6745,0.1777,1.3937,0.3687,2.6584,0.2645,5.6339,1.0528,6.6929,1.001,66.0078,0.1925,0.0372,3.057,150.0014,37.9129
FL_examples (220),follicular_lymphoma,1,112,10.549,0.2166,49.444,5.648,20.5308,13.7644,1.1542,0.6704,20.5643,9.8533,0.8351,0.4791,0.641,0.203,0.2019,0.3168,0.8697,0.1285,-3.0181,0.1478,0.8187,0.0783,-0.1272,0.0957,8.2584,3.5044,1.0065,0.4244,3.4155,1.46,1.4053,0.4275,2.6163,1.1597,1.6444,0.4433,6.6313,1.4268,8.3837,1.6283,68.0921,0.2096,0.0392,2.8349,160.9487,38.7744
FL_examples (221),follicular_lymphoma,1,168,15.823,0.2662,35.686,5.521,16.826,8.4942,2.5833,0.5048,15.7509,6.0965,2.2763,0.3871,0.867,0.1704,-1.3595,0.1965,0.6967,0.1486,-0.3324,0.2132,0.9029,0.064,-1.4184,0.0709,5.8131,1.9918,1.8708,0.3426,3.803,0.9794,1.3908,0.2575,1.5556,0.4438,1.5518,0.2853,5.4556,1.1261,6.7168,1.1714,52.9415,0.2734,0.045,2.7042,159.3963,38.274
FL_examples (222),follicular_lymphoma,1,160,15.07,0.2432,30.245,5.06,16.1372,6.8388,0.6609,0.4238,15.5448,5.2431,0.8714,0.3373,0.8541,0.1778,-1.2281,0.2082,0.7055,0.1614,-0.8943,0.2288,0.8931,0.0729,-1.5349,0.0816,5.7833,1.8417,1.1009,0.3185,3.7208,0.9157,0.258,0.2461,1.5888,0.4728,2.15,0.2976,5.5931,1.4254,6.844,1.4071,53.4314,0.2813,0.0453,2.7037,156.8245,39.6832
FL_examples (223),follicular_lymphoma,1,170,16.012,0.2737,35.511,5.502,17.0948,8.374,1.3914,0.4899,16.6023,7.1065,1.7895,0.428,0.8277,0.2037,-1.0972,0.2462,0.7088,0.1527,-0.5797,0.2155,0.8846,0.0756,-1.17,0.0854,6.0284,2.1744,1.4311,0.3607,3.8298,1.014,0.934,0.2648,1.5995,0.4936,2.0336,0.3086,5.4979,1.4402,6.6383,1.5591,61.3248,0.262,0.042,2.6831,164.3742,40.8163
FL_examples (224),follicular_lymphoma,1,177,16.671,0.2713,33.915,5.289,16.2717,8.1147,1.6114,0.4987,15.8749,6.5526,2.1333,0.4128,0.8379,0.1843,-1.2657,0.2199,0.7205,0.1422,-0.7329,0.1974,0.8852,0.0775,-1.3009,0.0876,5.8491,2.0434,1.5819,0.3494,3.6938,0.9274,0.4729,0.2511,1.6019,0.4422,1.776,0.276,5.4149,1.0881,6.6312,1.1799,57.4436,0.2644,0.0428,2.7093,163.3884,40.6033
FL_examples (225),follicular_lymphoma,1,165,15.541,0.2752,37.976,5.814,17.7064,9.1236,1.5977,0.5153,16.6335,6.7279,1.5919,0.4045,0.8306,0.1881,-0.9149,0.2264,0.7287,0.1409,-0.8564,0.1934,0.8846,0.081,-1.3473,0.0916,6.1826,2.2402,1.3523,0.3623,3.8415,1.0423,0.9636,0.2713,1.6289,0.4619,1.7031,0.2836,5.7775,1.2382,7.152,1.2471,54.5389,0.2672,0.0434,2.7812,163.1684,39.1875
FL_examples (226),follicular_lymphoma,1,187,17.613,0.2672,28.822,4.824,15.173,6.4813,0.9087,0.4272,14.9815,5.4146,1.642,0.3614,0.8677,0.1747,-1.3439,0.2014,0.7116,0.1518,-0.451,0.2133,0.8947,0.0695,-1.3346,0.0777,5.6561,1.8702,1.2735,0.3307,3.5707,0.8318,0.28,0.2329,1.6204,0.5421,2.6146,0.3345,5.4379,1.0808,6.5992,1.3176,63.5999,0.26,0.0419,2.7137,170.8233,41.3262
FL_examples (227),follicular_lymphoma,1,184,17.33,0.2728,31.027,5.219,15.7435,6.9411,1.5191,0.4409,15.3336,5.1948,1.5805,0.3388,0.8568,0.1618,-1.3041,0.1889,0.7284,0.1364,-0.9585,0.1873,0.893,0.063,-1.139,0.0705,5.7582,1.7714,1.3587,0.3076,3.6294,0.8422,0.9702,0.232,1.6093,0.4337,2.1049,0.2695,5.3603,1.0629,6.7055,1.089,57.6356,0.2549,0.0435,2.7622,162.5741,38.3291
FL_examples (228),follicular_lymphoma,1,177,16.671,0.2874,38.829,5.632,17.24,9.8948,2.8287,0.5739,16.8065,7.4588,2.4025,0.4438,0.805,0.194,-0.8471,0.241,0.7484,0.1341,-0.7791,0.1792,0.8768,0.0738,-1.1464,0.0842,6.2049,2.2627,1.6774,0.3647,3.7327,1.1144,1.7578,0.2986,1.6963,0.5081,1.8073,0.2996,5.7437,1.3085,6.8633,1.404,56.4625,0.2564,0.0437,2.7837,166.3735,38.6192
FL_examples (229),follicular_lymphoma,1,160,15.07,0.3145,50.361,6.411,20.8704,14.0788,4.3191,0.6746,19.1906,9.7891,3.7895,0.5101,0.757,0.2032,-0.574,0.2684,0.7547,0.1334,-0.8765,0.1768,0.8626,0.0756,-0.9084,0.0877,6.8698,2.5352,1.342,0.369,4.0727,1.3577,2.4186,0.3334,1.7431,0.6162,2.4411,0.3535,5.9062,1.0552,7.186,1.1114,43.2951,0.2817,0.046,2.8284,154.9276,36.9154
FL_examples (23),follicular_lymphoma,1,185,17.424,0.2802,31.25,5.44,16.0827,7.4036,1.2735,0.4603,16.6662,6.5629,1.5893,0.3938,0.7777,0.227,-0.7438,0.2918,0.6636,0.1693,-0.2555,0.2551,0.865,0.0935,-1.2218,0.1081,5.732,1.8964,1.7313,0.3308,3.8871,1.0283,0.3496,0.2645,1.5395,0.6486,4.6979,0.4213,5.5323,1.411,6.6018,1.4306,56.2619,0.2173,0.0396,3.0108,151.6541,37.312
FL_examples (230),follicular_lymphoma,1,171,16.106,0.3414,43.167,6.215,21.1984,10.9835,0.889,0.5181,19.6993,7.9851,0.9668,0.4054,0.7277,0.2019,-0.4667,0.2774,0.7476,0.1415,-0.893,0.1892,0.8439,0.0902,-1.2107,0.1068,7.045,2.7064,1.658,0.3842,4.193,1.2706,0.4857,0.303,1.7453,0.7288,4.4061,0.4176,5.9327,1.3094,7.0854,1.3744,40.2594,0.284,0.0465,2.8423,151.3993,36.7943
FL_examples (231),follicular_lymphoma,1,151,14.222,0.3224,52.226,7.232,22.6678,13.499,1.3295,0.5955,20.9397,10.2185,1.5942,0.488,0.7086,0.2185,-0.3906,0.3084,0.7521,0.1393,-1.133,0.1853,0.8358,0.0963,-0.8786,0.1152,7.1575,2.613,0.8898,0.3651,4.3479,1.5704,1.0932,0.3612,1.6973,0.4595,1.4228,0.2707,5.9066,1.2513,7.4244,1.2603,44.6039,0.274,0.0442,2.8691,160.3051,38.5951
FL_examples (232),follicular_lymphoma,1,174,16.388,0.3074,38.029,5.903,18.7582,9.2491,0.9943,0.4931,18.0282,7.2016,1.2544,0.3995,0.7653,0.1978,-0.699,0.2585,0.7515,0.1384,-1.1753,0.1842,0.861,0.0771,-0.82,0.0896,6.4714,2.0616,0.7562,0.3186,3.9312,1.156,0.5365,0.2941,1.69,0.4448,1.2453,0.2632,5.633,1.1423,6.9965,1.1819,47.8333,0.2638,0.0437,2.8471,160.5854,38.4934
FL_examples (233),follicular_lymphoma,1,163,15.352,0.3128,42.868,5.959,20.372,10.1559,1.3543,0.4985,19.1396,7.355,1.1919,0.3843,0.7366,0.195,-0.3082,0.2648,0.7673,0.1283,-1.0591,0.1672,0.8425,0.0866,-0.811,0.1028,7.002,2.4394,1.1909,0.3484,4.0636,1.0779,0.6943,0.2653,1.753,0.5022,1.2665,0.2865,5.865,1.3014,7.2449,1.2204,53.5658,0.2593,0.0417,2.7889,166.5344,40.7625
FL_examples (234),follicular_lymphoma,1,162,15.258,0.4029,50.498,6.328,26.403,11.987,0.5705,0.454,23.1304,9.501,1.307,0.4108,0.6796,0.2089,-0.2599,0.3074,0.7087,0.1571,-0.6064,0.2217,0.8403,0.082,-0.88,0.0976,7.5859,2.6182,1.0613,0.3451,4.8234,1.1841,0.0479,0.2455,1.5918,0.4373,1.2165,0.2747,6.2218,1.1524,7.4324,1.2308,38.3571,0.2667,0.0451,2.975,160.9246,36.684
FL_examples (235),follicular_lymphoma,1,164,15.447,0.3977,50.187,6.287,25.7442,12.0977,1.1255,0.4699,22.5709,8.7425,1.6728,0.3873,0.6755,0.1895,-0.2215,0.2806,0.7088,0.157,-0.7824,0.2215,0.8381,0.0755,-0.6352,0.0901,7.4484,2.5382,1.5748,0.3408,4.775,1.2148,-0.0728,0.2544,1.591,0.4424,1.2809,0.278,6.1728,1.1915,7.3927,1.0906,41.7414,0.2575,0.0433,2.9878,168.5184,37.723
FL_examples (236),follicular_lymphoma,1,151,14.222,0.3403,44.476,5.916,23.9304,9.9927,1.508,0.4176,20.7721,7.8856,2.2324,0.3796,0.7486,0.1959,-0.623,0.2616,0.671,0.1701,-0.53,0.2535,0.863,0.0726,-0.8753,0.0841,7.0296,2.4338,1.9911,0.3462,4.673,1.0141,0.6705,0.217,1.5318,0.5152,2.4709,0.3363,6.1619,1.1005,7.4241,1.2562,36.8499,0.2859,0.047,2.9335,154.3424,36.4509
FL_examples (237),follicular_lymphoma,1,170,16.012,0.3627,44.15,5.812,22.6512,10.4552,1.7644,0.4616,19.373,7.1225,1.8105,0.3677,0.789,0.1831,-0.5661,0.2321,0.6804,0.1556,-0.3126,0.2287,0.8724,0.0719,-1.0193,0.0824,6.7671,2.2674,1.1947,0.3351,4.496,1.0648,1.6157,0.2368,1.5192,0.4228,1.5785,0.2783,5.9199,1.0679,7.0493,1.2026,45.1664,0.278,0.0445,2.8656,171.5635,39.0798
FL_examples (238),follicular_lymphoma,1,169,15.918,0.3564,41.598,6.036,22.3883,9.3099,1.1499,0.4158,19.318,6.8069,1.4441,0.3524,0.7953,0.198,-0.8023,0.249,0.6847,0.155,-0.2493,0.2263,0.8771,0.082,-1.4658,0.0934,6.7792,2.1948,1.453,0.3238,4.4972,1.0383,0.3359,0.2309,1.5363,0.439,1.3777,0.2858,5.8991,0.9274,6.9564,1.0222,42.2855,0.288,0.0453,2.8653,173.4103,39.6126
FL_examples (239),follicular_lymphoma,1,157,14.787,0.3546,43.907,6.082,23.9795,9.6832,0.7724,0.4038,20.4688,7.2302,1.1677,0.3532,0.7692,0.2048,-0.6534,0.2662,0.6877,0.1623,-0.3848,0.236,0.8726,0.0759,-1.1777,0.087,7.0922,2.3277,1.1485,0.3282,4.6216,0.9699,0.0157,0.2099,1.5514,0.4404,1.1983,0.2839,6.0943,1.131,7.2946,1.2895,40.4505,0.2893,0.0464,2.8606,167.0309,37.6159
FL_examples (24),follicular_lymphoma,1,111,10.455,0.209,46.816,6.287,19.9895,12.9918,1.1199,0.6499,18.6261,8.6445,0.8731,0.4641,0.7388,0.207,-0.3877,0.2801,0.7499,0.1397,-1.0934,0.1863,0.8436,0.0961,-0.9949,0.1139,6.5749,2.4261,0.5765,0.369,4.0158,1.4047,0.3183,0.3498,1.6909,0.4644,1.7032,0.2747,6.5487,1.9576,8.3231,1.9365,40.0567,0.2717,0.0469,2.9671,149.983,35.2328
FL_examples (240),follicular_lymphoma,1,174,16.388,0.3557,43.684,6.469,21.706,9.6601,1.3215,0.445,18.6396,7.1703,2.0712,0.3847,0.8223,0.1851,-1.1056,0.2251,0.669,0.161,-0.433,0.2406,0.8843,0.0755,-1.3533,0.0854,6.521,2.0883,1.3629,0.3202,4.4473,1.0998,1.4045,0.2473,1.4844,0.3735,1.2913,0.2516,5.7507,1.0456,6.8831,1.0936,42.2669,0.2907,0.0463,2.8421,167.5597,38.4664
FL_examples (241),follicular_lymphoma,1,171,16.106,0.3468,39.111,5.561,21.5325,8.4747,0.8785,0.3936,18.774,6.0374,1.1485,0.3216,0.7999,0.182,-0.8658,0.2276,0.6846,0.1675,-0.5906,0.2446,0.8801,0.0758,-1.7452,0.0862,6.6522,1.9888,1.1195,0.299,4.3797,0.9029,-0.1058,0.2062,1.5533,0.4745,1.8471,0.3055,5.9371,1.0902,7.0654,1.2378,37.049,0.3028,0.0476,2.8634,158.0692,37.9478
FL_examples (242),follicular_lymphoma,1,179,16.859,0.3563,38.688,5.692,21.1328,8.2003,1.1189,0.388,18.3393,6.0645,1.3913,0.3307,0.8241,0.1823,-1.1022,0.2212,0.6548,0.17,-0.2199,0.2596,0.8844,0.0721,-1.6099,0.0815,6.4832,2.108,1.528,0.3252,4.4165,0.8915,-0.086,0.2019,1.4912,0.4666,2.1964,0.3129,5.8954,1.0021,6.8983,0.9627,41.2036,0.2957,0.0473,2.8896,165.977,37.3534
FL_examples (243),follicular_lymphoma,1,192,18.084,0.3543,35.2,5.406,19.5939,7.4544,0.9948,0.3804,17.4602,5.0641,1.1249,0.29,0.8231,0.166,-0.8508,0.2017,0.6731,0.1757,-0.5531,0.261,0.8847,0.0663,-1.1854,0.0749,6.2699,1.8225,1.501,0.2907,4.1965,0.8896,-0.3245,0.212,1.5398,0.4922,2.2101,0.3197,5.6478,0.8798,6.6074,0.9712,42.9441,0.2877,0.0454,2.9095,171.0438,39.1259
FL_examples (244),follicular_lymphoma,1,183,17.236,0.3408,33.132,5.385,19.7725,6.9411,0.5448,0.3511,17.3148,5.1504,1.9047,0.2975,0.8483,0.1663,-1.3005,0.1961,0.6473,0.1646,-0.2734,0.2543,0.8903,0.0686,-1.4439,0.077,6.1236,1.6527,1.2776,0.2699,4.3066,0.9074,0.0288,0.2107,1.4603,0.4468,2.875,0.306,5.799,0.9328,6.8581,1.1375,43.0701,0.2899,0.0466,2.8843,170.5268,38.1549
FL_examples (245),follicular_lymphoma,1,178,16.765,0.3492,38.735,5.437,20.8295,8.3906,0.7307,0.4028,18.1344,6.2336,1.5487,0.3437,0.8275,0.183,-1.1158,0.2212,0.6743,0.1687,-0.6071,0.2502,0.885,0.075,-1.9228,0.0847,6.4442,2.0134,1.363,0.3124,4.3175,0.9417,-0.3697,0.2181,1.5245,0.4514,1.6909,0.2961,5.7224,0.943,6.8206,0.9832,44.3459,0.2952,0.0462,2.8869,173.0587,39.3054
FL_examples (246),follicular_lymphoma,1,194,18.272,0.3617,36.014,5.265,19.7966,7.5696,1.0956,0.3824,17.3664,5.4751,1.3778,0.3153,0.8506,0.1758,-1.4216,0.2066,0.6573,0.154,-0.4183,0.2343,0.8914,0.0738,-2.0967,0.0828,6.1663,1.8779,1.4923,0.3046,4.2781,0.8277,0.5728,0.1935,1.447,0.3578,1.8912,0.2473,5.6803,0.9177,6.6734,1.0686,45.9144,0.2907,0.0461,2.9049,171.4019,38.4835
FL_examples (247),follicular_lymphoma,1,171,16.106,0.3298,38.135,5.996,20.4757,8.5886,0.9906,0.4195,17.6804,6.006,1.5286,0.3397,0.8423,0.1751,-1.0953,0.2078,0.6433,0.1649,-0.2025,0.2564,0.8922,0.067,-1.1157,0.0751,6.2269,1.9199,1.1404,0.3083,4.3752,1.0184,0.4111,0.2328,1.4497,0.4188,2.1964,0.2889,5.8842,0.9624,6.9712,1.2064,38.8008,0.309,0.0484,2.8803,161.4804,37.5674
FL_examples (248),follicular_lymphoma,1,103,9.701,0.1557,40.973,5.824,16.0508,12.2184,1.5298,0.7612,18.3338,10.9135,1.4751,0.5953,0.6562,0.2353,-0.0876,0.3586,0.8155,0.1478,-1.4856,0.1812,0.7581,0.1225,-0.4946,0.1616,7.0025,3.7438,2.5743,0.5346,3.4607,1.5707,0.5498,0.4539,2.1663,0.8375,0.9702,0.3866,6.1557,1.9247,8.0853,2.6808,49.3889,0.2375,0.0416,2.7839,150.9443,37.9993
FL_examples (249),follicular_lymphoma,1,66,6.216,0.1026,42.834,6.368,16.5111,11.9331,1.0789,0.7227,16.9202,8.4393,0.6805,0.4988,0.7291,0.2085,-0.2872,0.2859,0.7547,0.1655,-1.0022,0.2193,0.8128,0.0988,-0.6978,0.1216,6.1893,2.5576,0.8762,0.4132,3.5858,1.5067,0.4739,0.4202,1.8668,0.7986,2.1469,0.4278,6.5319,1.6114,8.8391,1.9685,51.2131,0.2592,0.0429,2.7189,143.3148,41.6295
FL_examples (25),follicular_lymphoma,1,106,9.984,0.2159,45.359,5.933,21.6291,11.7044,0.9667,0.5411,19.2443,7.5532,0.8579,0.3925,0.748,0.191,-0.378,0.2554,0.7435,0.1431,-0.5112,0.1924,0.851,0.0867,-0.886,0.1019,6.9353,2.4198,1.0711,0.3489,4.1835,1.2271,-0.2303,0.2933,1.739,0.6392,2.0653,0.3676,6.8201,1.8542,8.6027,1.9255,36.6039,0.2858,0.0489,2.938,146.526,34.628
FL_examples (250),follicular_lymphoma,1,97,9.136,0.1765,42.426,6.138,19.321,11.3972,0.7322,0.5899,18.7466,8.6794,0.9072,0.463,0.727,0.2206,-0.3318,0.3035,0.7527,0.1813,-1.0954,0.2408,0.8223,0.1134,-0.8029,0.1378,6.8697,2.6598,0.6536,0.3872,3.9193,1.4208,0.263,0.3625,1.8574,0.6933,1.4305,0.3733,6.6587,2.0299,8.7081,3.4793,47.2197,0.269,0.0425,2.644,155.3042,41.2051
FL_examples (251),follicular_lymphoma,1,122,11.491,0.237,46.65,7.24,20.6241,11.8047,1.2794,0.5724,19.2528,8.8521,1.4946,0.4598,0.743,0.2178,-0.4538,0.2931,0.7053,0.1658,-0.4537,0.2351,0.8346,0.1021,-0.8079,0.1223,6.6241,2.295,1.1354,0.3465,4.3162,1.6026,0.7736,0.3713,1.6384,0.5729,1.9549,0.3497,6.3571,1.5664,8.0663,1.6393,40.2668,0.2887,0.0462,2.663,146.452,37.9176
FL_examples (252),follicular_lymphoma,1,149,14.034,0.3323,48.654,6.4,23.6793,11.8219,1.036,0.4993,20.5626,7.9129,1.1792,0.3848,0.7376,0.1963,-0.4255,0.2662,0.7371,0.1409,-0.7553,0.1911,0.8473,0.0893,-1.0013,0.1054,7.2937,2.5093,1.1739,0.344,4.4673,1.2144,0.3114,0.2718,1.6733,0.5063,1.4363,0.3026,6.0998,1.4451,7.4351,1.4253,38.1693,0.2971,0.047,2.7526,166.4497,37.7429
FL_examples (253),follicular_lymphoma,1,145,13.657,0.3277,51.221,6.834,23.9969,12.5181,1.5394,0.5217,21.0453,8.3169,1.1673,0.3952,0.7209,0.2072,-0.3359,0.2874,0.7143,0.1497,-0.8299,0.2096,0.8382,0.095,-0.8473,0.1134,7.1754,2.3569,1.0284,0.3285,4.6072,1.2355,0.4398,0.2682,1.5862,0.4194,1.534,0.2644,6.0414,1.3071,7.4345,1.7339,42.7697,0.2944,0.0448,2.8252,162.8154,40.6448
FL_examples (254),follicular_lymphoma,1,147,13.845,0.3184,51.405,7.069,22.9967,13.5979,2.1554,0.5913,21.6244,10.8601,2.366,0.5022,0.6823,0.2203,-0.3054,0.3229,0.7499,0.133,-0.6661,0.1773,0.8244,0.097,-0.8718,0.1176,7.2665,2.5425,1.2551,0.3499,4.4246,1.4305,0.7826,0.3233,1.6975,0.4853,1.3338,0.2859,6.0901,1.2537,7.4793,1.2767,36.9659,0.2878,0.0467,2.8538,157.1698,37.5814
FL_examples (255),follicular_lymphoma,1,150,14.128,0.3428,46.933,6.835,24.2663,11.2014,0.6351,0.4616,23.3011,9.899,1.2466,0.4248,0.6313,0.22,-0.1656,0.3485,0.703,0.1602,-0.9128,0.2279,0.8142,0.0941,-0.5137,0.1156,7.3063,2.263,0.6042,0.3097,4.7744,1.3186,0.3397,0.2762,1.5646,0.4058,1.4457,0.2594,5.9336,1.2572,7.1385,1.228,44.3713,0.2523,0.0434,2.9464,160.7793,36.7039
FL_examples (256),follicular_lymphoma,1,153,14.411,0.3279,44.674,6.445,22.7574,11.0175,0.8679,0.4841,20.9346,8.9427,1.341,0.4272,0.7155,0.2194,-0.4476,0.3066,0.709,0.1438,-0.8309,0.2028,0.8492,0.0887,-1.1995,0.1045,6.9334,2.3032,0.8888,0.3322,4.5243,1.2673,0.2108,0.2801,1.5601,0.4007,1.6831,0.2568,6.0192,1.2914,7.2918,1.3481,33.2653,0.2751,0.049,2.9082,140.6083,32.5085
FL_examples (257),follicular_lymphoma,1,139,13.092,0.3009,46.084,6.31,22.9807,11.1764,1.1809,0.4863,20.0501,8.187,1.4736,0.4083,0.7639,0.2057,-0.6557,0.2693,0.699,0.1636,-0.9983,0.234,0.8604,0.0843,-0.9919,0.098,6.9026,2.3251,1.1185,0.3368,4.5006,1.2076,0.2725,0.2683,1.5613,0.4217,1.6587,0.2701,6.3267,1.4308,7.703,1.4999,34.8124,0.3059,0.0486,2.7953,149.2185,36.8183
FL_examples (258),follicular_lymphoma,1,132,12.433,0.2591,42.018,5.986,20.8442,10.5317,1.3928,0.5053,18.5357,7.2613,1.6852,0.3917,0.7878,0.1896,-0.6655,0.2407,0.6858,0.176,-0.5676,0.2566,0.8663,0.0741,-1.0004,0.0855,6.5245,2.2206,1.0592,0.3404,4.2749,1.1595,0.1827,0.2712,1.5636,0.4469,1.0616,0.2858,6.3856,1.4085,8.0799,1.6005,38.2709,0.295,0.0467,2.7574,151.125,38.2772
FL_examples (259),follicular_lymphoma,1,185,17.424,0.3403,34.168,5.346,19.5278,7.3842,0.8799,0.3781,17.4356,5.8982,2.5942,0.3383,0.8351,0.1758,-1.232,0.2105,0.6641,0.1739,-0.5352,0.2618,0.8868,0.078,-2.0062,0.088,6.2491,2.0209,2.6362,0.3234,4.2295,0.8628,-0.3659,0.204,1.5058,0.4437,1.7097,0.2947,5.7281,0.9838,6.811,1.0742,43.7559,0.2875,0.0461,2.8011,165.6121,38.03
FL_examples (26),follicular_lymphoma,1,103,9.701,0.2048,44.821,6.62,21.1127,11.6347,0.845,0.5511,19.1152,7.6102,0.9057,0.3981,0.739,0.1977,-0.302,0.2675,0.7403,0.1316,-0.9128,0.1778,0.8449,0.0899,-1.6262,0.1064,6.6828,2.1142,0.3866,0.3164,4.223,1.3653,0.2676,0.3233,1.6387,0.415,1.2798,0.2532,6.6839,2.1141,8.5835,2.3536,45.1528,0.2762,0.0464,2.9413,163.8159,37.3266
FL_examples (260),follicular_lymphoma,1,179,16.859,0.334,36.701,5.757,19.81,7.8745,1.1652,0.3975,17.5866,5.6652,1.9907,0.3221,0.8259,0.1746,-1.0205,0.2114,0.6447,0.1738,-0.5068,0.2697,0.8841,0.0788,-1.3836,0.0891,6.1549,1.7385,1.4602,0.2825,4.3267,0.955,0.8791,0.2207,1.4504,0.3913,1.8898,0.2698,5.8394,1.0528,6.923,1.089,44.1338,0.2899,0.0452,2.8378,162.5425,39.6327
FL_examples (261),follicular_lymphoma,1,177,16.671,0.3315,40.357,5.936,19.8856,8.832,1.4508,0.4441,17.9597,6.8732,1.8503,0.3827,0.8144,0.1898,-0.9824,0.2331,0.6631,0.1755,-0.5026,0.2647,0.8754,0.0767,-1.2335,0.0876,6.321,2.1484,1.4403,0.3399,4.2559,0.9482,0.5168,0.2228,1.4984,0.4163,1.486,0.2778,5.6902,1.1782,6.9485,1.2569,44.567,0.2687,0.0445,2.8747,161.5549,37.9947
FL_examples (262),follicular_lymphoma,1,193,18.178,0.3575,37.929,5.631,19.6689,8.158,1.123,0.4148,17.6506,6.2802,1.4881,0.3558,0.8312,0.1907,-1.0714,0.2294,0.6552,0.1764,-0.3881,0.2692,0.8867,0.0702,-1.3033,0.0791,6.2686,2.181,1.3573,0.3479,4.2226,0.8679,0.3585,0.2055,1.496,0.468,2.2964,0.3128,5.6248,1.0893,6.6784,1.2338,45.9159,0.2736,0.0444,2.8832,162.4986,38.2606
FL_examples (263),follicular_lymphoma,1,143,13.469,0.283,45.381,6.227,21.0106,11.3172,1.5448,0.5386,17.9863,7.448,1.8013,0.4141,0.8306,0.1731,-0.9741,0.2084,0.6613,0.1741,-0.7082,0.2632,0.889,0.0582,-0.8206,0.0655,6.2853,2.2001,1.3597,0.35,4.3215,1.1824,0.1156,0.2736,1.481,0.4006,2.1566,0.2705,6.2958,1.2735,7.406,1.5563,43.7616,0.2664,0.044,2.8965,160.0666,38.7574
FL_examples (264),follicular_lymphoma,1,167,15.729,0.3349,43.303,6.337,21.293,9.8806,1.6184,0.464,18.6174,6.7724,1.725,0.3638,0.8022,0.1895,-0.7094,0.2362,0.6645,0.166,-0.2711,0.2498,0.874,0.075,-0.9326,0.0859,6.4967,2.102,1.0198,0.3235,4.3978,1.0357,0.9682,0.2355,1.497,0.424,1.5967,0.2832,5.8527,0.9673,7.1706,1.2086,43.9498,0.2712,0.0442,2.8769,161.9345,38.4392
FL_examples (265),follicular_lymphoma,1,182,17.142,0.3542,35.927,5.244,20.6624,7.5145,0.997,0.3637,17.9387,5.4108,1.3249,0.3016,0.8345,0.1793,-0.9948,0.2149,0.6594,0.1723,-0.409,0.2613,0.887,0.0719,-1.2341,0.081,6.416,1.9685,1.4,0.3068,4.351,0.7679,0.0979,0.1765,1.4879,0.4139,1.4988,0.2782,5.7458,1.0145,6.8676,1.0684,44.7198,0.2727,0.0442,2.91,161.6433,38.3476
FL_examples (266),follicular_lymphoma,1,166,15.635,0.3393,39.084,5.836,21.7017,8.1497,0.8602,0.3755,18.6621,5.6224,1.1508,0.3013,0.8104,0.1807,-0.7992,0.2229,0.673,0.1615,-0.5681,0.24,0.8803,0.0724,-1.0718,0.0823,6.5699,1.8454,1.0129,0.2809,4.4542,0.9111,0.2482,0.2045,1.4987,0.396,1.4353,0.2643,5.9918,1.2052,7.2009,1.1726,43.8093,0.2726,0.0449,2.8717,164.1787,38.0378
