image_name,category,target,n_nuclei,nuclear_density_per_1000um2,nuclear_area_fraction,area_top10_mean_um2,area_top10_short_axis_um,area_um2_mean,area_um2_std,area_um2_skew,area_um2_cv,perimeter_um_mean,perimeter_um_std,perimeter_um_skew,perimeter_um_cv,circularity_mean,circularity_std,circularity_skew,circularity_cv,eccentricity_mean,eccentricity_std,eccentricity_skew,eccentricity_cv,solidity_mean,solidity_std,solidity_skew,solidity_cv,major_axis_um_mean,major_axis_um_std,major_axis_um_skew,major_axis_um_cv,minor_axis_um_mean,minor_axis_um_std,minor_axis_um_skew,minor_axis_um_cv,aspect_ratio_mean,aspect_ratio_std,aspect_ratio_skew,aspect_ratio_cv,knn1_dist_mean_um,knn1_dist_std_um,knn3_dist_mean_um,knn3_dist_std_um,glcm_contrast,glcm_homogeneity,glcm_energy,lbp_entropy,hchannel_mean,hchannel_std
FL_examples (164),follicular_lymphoma,1,122,11.491,0.2321,43.492,6.259,20.2026,10.911,1.2263,0.5401,17.8119,7.3167,1.0459,0.4108,0.8155,0.1851,-0.7364,0.227,0.7023,0.1748,-0.8507,0.2489,0.8869,0.0671,-0.9073,0.0757,6.4684,2.3614,0.8277,0.3651,4.1011,1.2213,0.5312,0.2978,1.6096,0.482,1.2225,0.2994,6.1632,1.1729,7.6741,1.6225,53.2661,0.2675,0.043,2.7566,161.6708,40.2965
FL_examples (165),follicular_lymphoma,1,111,10.455,0.1683,35.337,5.614,16.0987,8.9806,1.1872,0.5578,15.9621,7.6126,2.0955,0.4769,0.8245,0.1915,-1.3022,0.2322,0.7352,0.1414,-0.4245,0.1923,0.8766,0.0833,-2.0454,0.095,5.8918,2.3246,1.6839,0.3946,3.6093,1.1613,0.6187,0.3217,1.6817,0.5343,1.5824,0.3177,6.4219,2.0629,8.209,2.1488,46.224,0.2646,0.0435,2.6793,150.4306,38.8061
FL_examples (166),follicular_lymphoma,1,147,13.845,0.2493,35.267,5.642,18.0076,8.41,0.9311,0.467,16.8811,6.4156,1.3047,0.38,0.8212,0.1892,-0.9197,0.2304,0.7149,0.1621,-0.8044,0.2268,0.8815,0.0819,-1.8008,0.0929,6.2152,2.1472,1.327,0.3455,3.9091,1.0553,0.1495,0.2699,1.6329,0.5086,1.7244,0.3115,6.0285,1.244,7.2403,1.2224,56.1486,0.2485,0.0419,2.7049,165.1914,39.6503
FL_examples (167),follicular_lymphoma,1,143,13.469,0.247,37.298,5.582,18.3352,8.7243,1.0116,0.4758,16.778,6.075,1.2961,0.3621,0.8313,0.1666,-0.9977,0.2004,0.6989,0.16,-0.9629,0.2289,0.8895,0.06,-1.286,0.0674,6.0639,1.9797,1.2771,0.3265,3.9642,1.0048,0.3266,0.2535,1.555,0.4045,1.2771,0.2601,6.1142,1.4749,7.5021,1.6531,50.1285,0.2562,0.0424,2.7663,156.6719,39.2022
FL_examples (168),follicular_lymphoma,1,148,13.94,0.2436,34.886,5.483,17.4756,8.144,1.473,0.466,16.5222,5.9281,1.9163,0.3588,0.8216,0.181,-0.9208,0.2203,0.7133,0.1534,-0.7096,0.2151,0.8816,0.0806,-1.5421,0.0914,6.0501,1.8526,1.302,0.3062,3.8788,1.0035,0.7413,0.2587,1.6034,0.4595,1.4994,0.2866,5.9353,1.343,7.3744,1.3231,51.9238,0.2572,0.0419,2.7283,156.5387,40.1088
FL_examples (169),follicular_lymphoma,1,151,14.222,0.2485,38.604,5.824,17.4703,10.7293,3.0745,0.6141,16.2824,7.0513,2.0578,0.4331,0.8352,0.1869,-0.9045,0.2238,0.6974,0.156,-0.5585,0.2237,0.8814,0.08,-1.4233,0.0907,5.8972,2.109,1.1331,0.3576,3.8577,1.2226,1.7031,0.3169,1.5662,0.4527,1.5116,0.289,5.8873,1.2557,7.2121,1.2995,48.3507,0.2607,0.0428,2.7563,150.9743,38.9978
FL_examples (17),follicular_lymphoma,1,167,15.729,0.3303,40.801,6.191,21.0004,8.6269,1.5417,0.4108,18.5227,7.542,2.6147,0.4072,0.8275,0.1974,-1.2716,0.2385,0.6427,0.161,-0.4464,0.2505,0.8878,0.0752,-1.6151,0.0847,6.3085,1.9801,2.0823,0.3139,4.4749,0.9828,1.0459,0.2196,1.4227,0.3565,2.5634,0.2506,5.8939,1.1333,7.1455,1.2029,49.4307,0.2377,0.0408,3.0819,171.9891,39.7383
FL_examples (170),follicular_lymphoma,1,140,13.186,0.229,30.984,5.082,17.3693,7.2717,0.2446,0.4187,16.1241,5.3654,0.7375,0.3328,0.8453,0.1702,-1.0204,0.2014,0.6795,0.1674,-0.6064,0.2464,0.8886,0.0704,-1.3029,0.0792,5.8576,1.8662,1.0446,0.3186,3.9161,0.9579,-0.3658,0.2446,1.5248,0.4158,1.3887,0.2727,6.1594,1.2665,7.665,1.4174,46.5475,0.2668,0.0449,2.7583,153.923,37.2885
FL_examples (171),follicular_lymphoma,1,134,12.621,0.2323,35.05,5.26,18.4076,8.5487,1.0941,0.4644,16.6043,5.8111,1.2044,0.35,0.8429,0.1735,-1.1017,0.2058,0.6722,0.1702,-0.6693,0.2532,0.8882,0.0796,-1.6414,0.0896,6.0598,2.1353,1.341,0.3524,4.0196,0.918,-0.1587,0.2284,1.524,0.5145,3.7588,0.3376,6.1132,1.5881,7.7386,1.7729,54.4746,0.2496,0.0412,2.7569,158.3319,40.1735
FL_examples (172),follicular_lymphoma,1,139,13.092,0.2448,33.297,5.853,18.7015,7.6094,0.2874,0.4069,17.2822,5.9478,1.1165,0.3442,0.8171,0.1982,-1.0617,0.2425,0.6988,0.1466,-0.7038,0.2097,0.8818,0.0818,-1.36,0.0928,6.1646,1.742,0.5317,0.2826,4.0971,1.0609,0.5695,0.2589,1.5368,0.3842,1.3146,0.25,6.1395,1.5654,7.6336,1.6199,51.9729,0.2386,0.0413,2.7697,153.7397,38.8797
FL_examples (173),follicular_lymphoma,1,149,14.034,0.2491,33.644,5.635,17.7531,7.3324,1.1112,0.413,16.4278,6.1937,2.8662,0.377,0.8576,0.1749,-1.5067,0.2039,0.6774,0.1618,-0.5742,0.2388,0.8972,0.0701,-1.6733,0.0782,5.8879,1.7706,1.8,0.3007,3.9929,0.977,0.9073,0.2447,1.5056,0.3848,1.2159,0.2556,5.8518,1.106,7.2995,1.1183,53.4801,0.2429,0.0414,2.7748,158.6067,39.0157
FL_examples (174),follicular_lymphoma,1,146,13.751,0.2458,34.632,5.832,17.8715,8.1856,1.0332,0.458,17.0211,6.1472,1.6629,0.3611,0.7972,0.1862,-0.7716,0.2336,0.7161,0.1554,-0.6032,0.217,0.8754,0.0814,-1.6677,0.093,6.137,1.7586,1.0876,0.2866,3.9327,1.1316,0.478,0.2877,1.6342,0.5043,1.3425,0.3086,6.0651,1.293,7.6441,1.3046,53.4245,0.2418,0.0409,2.7436,155.1355,39.1656
FL_examples (175),follicular_lymphoma,1,138,12.998,0.2551,42.909,6.589,19.6297,10.9211,1.4893,0.5564,17.8416,7.9231,1.8935,0.4441,0.801,0.1979,-0.8131,0.2471,0.7028,0.1656,-0.8476,0.2357,0.8743,0.0934,-1.4083,0.1068,6.3932,2.4402,2.2905,0.3817,4.1214,1.3842,0.902,0.3359,1.6186,0.5566,2.0093,0.3439,6.2801,1.3867,7.8557,1.4105,48.6469,0.2527,0.0416,2.7405,158.1295,39.882
FL_examples (176),follicular_lymphoma,1,172,16.2,0.3013,36.266,5.599,18.5987,8.5995,0.9525,0.4624,17.3434,6.2151,1.4852,0.3584,0.7981,0.179,-0.796,0.2243,0.7246,0.1561,-0.7958,0.2154,0.8777,0.0652,-0.835,0.0742,6.3417,2.0405,1.2155,0.3218,3.9432,1.051,0.3629,0.2665,1.6718,0.6136,3.4325,0.367,5.7632,1.4008,6.9753,1.4396,49.3972,0.2456,0.0421,2.7651,160.1474,38.3603
FL_examples (177),follicular_lymphoma,1,164,15.447,0.2955,37.503,5.846,19.1278,8.784,1.415,0.4592,17.0065,6.2691,1.6636,0.3686,0.8492,0.1806,-1.2299,0.2127,0.6646,0.1689,-0.8094,0.2541,0.8972,0.0647,-1.6585,0.0722,6.0274,1.8261,0.9405,0.303,4.1492,1.0681,0.4436,0.2574,1.4837,0.3998,1.7468,0.2694,5.8349,1.2236,7.1591,1.2477,47.0964,0.2528,0.0427,2.7963,158.4203,38.4314
FL_examples (178),follicular_lymphoma,1,144,13.563,0.2677,40.74,6.121,19.739,9.913,1.2796,0.5022,17.6404,7.028,1.5415,0.3984,0.8229,0.1966,-0.9165,0.2389,0.6602,0.1664,-0.4786,0.2521,0.8893,0.0681,-0.7809,0.0766,6.1482,2.0712,1.1162,0.3369,4.2106,1.0732,0.5102,0.2549,1.4743,0.3948,1.9069,0.2678,5.9794,1.5087,7.5062,1.607,44.8701,0.2514,0.0434,2.8039,147.6807,37.0938
FL_examples (179),follicular_lymphoma,1,137,12.904,0.2398,36.425,5.292,18.5853,8.3947,0.9885,0.4517,17.2534,6.21,1.5297,0.3599,0.812,0.1986,-0.7846,0.2446,0.7088,0.1513,-0.4267,0.2134,0.8811,0.0795,-1.2781,0.0903,6.2629,2.038,1.4325,0.3254,4.0058,0.9879,-0.0495,0.2466,1.6058,0.5001,1.7056,0.3114,5.9431,1.4007,7.5318,1.6741,46.0226,0.2507,0.0428,2.8167,153.8417,38.1313
FL_examples (18),follicular_lymphoma,1,186,17.519,0.2796,27.23,5.215,15.961,5.8704,0.4413,0.3678,16.2425,5.4044,1.0135,0.3327,0.8025,0.2102,-0.7252,0.262,0.6293,0.1521,-0.2753,0.2417,0.8908,0.0684,-1.3807,0.0768,5.41,1.3275,0.7105,0.2454,3.9722,0.9029,0.0585,0.2273,1.3955,0.3889,4.1931,0.2787,5.5522,1.0329,6.7162,1.1815,76.04,0.1832,0.0353,3.0513,162.1083,39.8029
