validation,model,fold,auc_roc,balanced_accuracy,sensitivity,specificity,n_train,n_test,best_params,block_size,n_blocks
B_blocchi_20,random_forest,0,0.9636111111111111,0.875,0.9166666666666666,0.8333333333333334,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",20,30
B_blocchi_20,xgboost,0,0.9444444444444444,0.9083333333333333,0.9333333333333333,0.8833333333333333,480,120,"{'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__n_estimators': 300}",20,30
B_blocchi_20,logistic_regression,1,0.9652777777777777,0.8583333333333334,1.0,0.7166666666666667,480,120,{'model__C': 1.0},20,30
B_blocchi_20,random_forest,1,0.9868055555555556,0.8666666666666667,0.9666666666666667,0.7666666666666667,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",20,30
B_blocchi_20,xgboost,1,0.9758333333333333,0.85,1.0,0.7,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",20,30
B_blocchi_20,logistic_regression,2,0.8430555555555556,0.7749999999999999,0.85,0.7,480,120,{'model__C': 0.1},20,30
B_blocchi_20,random_forest,2,0.9216666666666666,0.775,0.7666666666666667,0.7833333333333333,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",20,30
B_blocchi_20,xgboost,2,0.9497222222222221,0.8833333333333333,0.85,0.9166666666666666,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",20,30
B_blocchi_20,logistic_regression,3,0.8925,0.7916666666666666,0.6666666666666666,0.9166666666666666,480,120,{'model__C': 1.0},20,30
B_blocchi_20,random_forest,3,0.9029166666666666,0.7916666666666667,0.7166666666666667,0.8666666666666667,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",20,30
B_blocchi_20,xgboost,3,0.9480555555555557,0.8416666666666667,0.75,0.9333333333333333,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",20,30
B_blocchi_20,logistic_regression,4,0.7869444444444444,0.7083333333333334,0.5166666666666667,0.9,480,120,{'model__C': 0.1},20,30
B_blocchi_20,random_forest,4,0.8986111111111111,0.7583333333333333,0.5666666666666667,0.95,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",20,30
B_blocchi_20,xgboost,4,0.8724999999999999,0.8,0.6833333333333333,0.9166666666666666,480,120,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 300}",20,30
B_blocchi_30,logistic_regression,0,0.833611111111111,0.7833333333333333,0.6,0.9666666666666667,480,120,{'model__C': 1.0},30,20
B_blocchi_30,random_forest,0,0.8898611111111111,0.7250000000000001,0.5833333333333334,0.8666666666666667,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",30,20
B_blocchi_30,xgboost,0,0.9319444444444445,0.7833333333333333,0.6666666666666666,0.9,480,120,"{'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__n_estimators': 300}",30,20
B_blocchi_30,logistic_regression,1,0.9877777777777778,0.9166666666666667,0.9666666666666667,0.8666666666666667,480,120,{'model__C': 0.1},30,20
B_blocchi_30,random_forest,1,0.956111111111111,0.8666666666666667,0.9166666666666666,0.8166666666666667,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",30,20
B_blocchi_30,xgboost,1,0.9497222222222221,0.875,0.95,0.8,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}",30,20
B_blocchi_30,logistic_regression,2,0.9277777777777778,0.8666666666666667,0.95,0.7833333333333333,480,120,{'model__C': 0.1},30,20
B_blocchi_30,random_forest,2,0.9770833333333332,0.8916666666666666,0.95,0.8333333333333334,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",30,20
B_blocchi_30,xgboost,2,0.9683333333333334,0.875,0.9666666666666667,0.7833333333333333,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",30,20
B_blocchi_30,logistic_regression,3,0.6797222222222222,0.6583333333333334,0.8,0.5166666666666667,480,120,{'model__C': 0.1},30,20
B_blocchi_30,random_forest,3,0.814861111111111,0.7083333333333333,0.75,0.6666666666666666,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",30,20
B_blocchi_30,xgboost,3,0.8772222222222221,0.8083333333333333,0.7833333333333333,0.8333333333333334,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",30,20
B_blocchi_30,logistic_regression,4,0.856111111111111,0.7583333333333333,0.55,0.9666666666666667,480,120,{'model__C': 0.1},30,20
B_blocchi_30,random_forest,4,0.9372222222222223,0.8166666666666667,0.6666666666666666,0.9666666666666667,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 300}",30,20
B_blocchi_30,xgboost,4,0.9475,0.8333333333333333,0.7166666666666667,0.95,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}",30,20
