prefix,n_patches,n_features,mean_distance_adjacent,mean_distance_all_pairs,ratio,p_permutation,n_permutations
FL_examples,300,47,5.6689,9.2153,0.6152,0.0005,2000
REACTIVE_examples,300,47,6.3894,9.2529,0.6905,0.0005,2000
